new entry "Interrupt_ShootistsEdge"
type "InterruptData"
data "DisplayName" "hb7771c84g986cg4c84g9397g1203bf591ce4;1"
data "Description" "h5e40b0afg30adg4c96gbacfg94ba5c448513;1"
data "Icon" "Action_Barbarian_RecklessAttack"
data "InterruptContext" "OnPostRoll"
data "InterruptContextScope" "Nearby"
data "Container" "YesNoDecision"
data "Conditions" "not Dead(context.Target) and Self(context.Observer,context.Source) and not Self(context.Target,context.Observer) and GunslingerTechniquesCheck() and IsRerollInterruptInteresting(context.Source)"
data "Properties" "SetDisadvantage()"
data "UseCosts" "GritPoint:1"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "not HasStatus('SG_Polymorph') or Tagged('MINDFLAYER')"
data "EnableContext" "OnStatusApplied"
